# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 50
47 2.325 0.810614 52.856
48 2.375 0.738967 55.3435
49 2.425 0.705105 57.818
50 2.475 0.711235 60.418
800 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0 0
19 0.925 0.00391603 0.002
20 0.975 0.50228 0.287
21 1.025 2.43267 1.8125
22 1.075 3.71585 4.3755
23 1.125 3.1401 6.7475
24 1.175 2.10129 8.479
25 1.225 1.33873 9.678
26 1.275 0.908555 10.5595
27 1.325 0.661386 11.2525
28 1.375 0.527757 11.848
29 1.425 0.460432 12.406
30 1.475 0.456703 12.999
31 1.525 0.451746 13.626
32 1.575 0.473506 14.327
33 1.625 0.565699 15.2185
34 1.675 0.662331 16.3275
35 1.725 0.803001 17.7535
36 1.775 0.965287 19.5685
37 1.825 1.15838 21.871
38 1.875 1.27712 24.5505
39 1.925 1.33034 27.4925
40 1.975 1.34717 30.6285
41 2.025 1.34052 33.909
42 2.075 1.35161 37.382
43 2.125 1.28486 40.8445
44 2.175 1.19796 44.2265
45 2.225 1.06315 47.3675
46 2.275 0.910093 50.1785
47 2.325 0.810769 52.794
48 2.375 0.746839 55.308
49 2.425 0.721062 57.8385
50 2.475 0.714791 60.4515
900 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0 0
19 0.925 0.0107691 0.0055
20 0.975 0.474963 0.275
21 1.025 2.4239 1.795
22 1.075 3.75355 4.384
23 1.125 3.14208 6.7575
24 1.175 2.0934 8.4825
25 1.225 1.33314 9.6765
26 1.275 0.92247 10.5715
27 1.325 0.668067 11.2715
28 1.375 0.525098 11.864
29 1.425 0.457543 12.4185
30 1.475 0.443611 12.9945
31 1.525 0.448504 13.617
32 1.575 0.477897 14.3245
33 1.625 0.548884 15.1895
34 1.675 0.656955 16.2895
35 1.725 0.78836 17.6895
36 1.775 0.982306 19.5365
37 1.825 1.17624 21.8745
38 1.875 1.29189 24.585
39 1.925 1.34933 27.569
40 1.975 1.33708 30.6815
41 2.025 1.33378 33.9455
42 2.075 1.33157 37.367
43 2.125 1.27874 40.813
44 2.175 1.18768 44.166
45 2.225 1.06586 47.315
46 2.275 0.938098 50.2125
47 2.325 0.807204 52.8165
48 2.375 0.746839 55.3305
49 2.425 0.723199 57.8685
50 2.475 0.703986 60.442
1000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0 0
19 0.925 0.0117481 0.006
20 0.975 0.481131 0.279
21 1.025 2.36011 1.759
22 1.075 3.79559 4.377
23 1.125 3.14341 6.7515
24 1.175 2.11889 8.4975
25 1.225 1.35882 9.7145
26 1.275 0.89258 10.5805
27 1.325 0.669021 11.2815
28 1.375 0.52111 11.8695
29 1.425 0.46497 12.433
30 1.475 0.432058 12.994
31 1.525 0.45787 13.6295
32 1.575 0.456957 14.306
33 1.625 0.538414 15.1545
34 1.675 0.661435 16.262
35 1.725 0.825525 17.728
36 1.775 0.978051 19.567
37 1.825 1.13574 21.8245
38 1.875 1.33169 24.6185
39 1.925 1.35408 27.613
40 1.975 1.30873 30.6595
41 2.025 1.33132 33.9175
42 2.075 1.30083 37.26
43 2.125 1.29544 40.751
44 2.175 1.23462 44.2365
45 2.225 1.08227 47.434
46 2.275 0.915273 50.261
47 2.325 0.814489 52.8885
48 2.375 0.738076 55.373
49 2.425 0.716503 57.8875
50 2.475 0.695643 60.4305
1100 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0 0
19 0.925 0.0127271 0.0065
20 0.975 0.467913 0.272
21 1.025 2.46217 1.816
22 1.075 3.69121 4.362
23 1.125 3.11495 6.715
24 1.175 2.0485 8.403
25 1.225 1.42302 9.6775
26 1.275 0.918862 10.569
27 1.325 0.678088 11.2795
28 1.375 0.558332 11.9095
29 1.425 0.447642 12.452
30 1.475 0.435139 13.017
31 1.525 0.42869 13.612
32 1.575 0.47587 14.3165
33 1.625 0.558719 15.197
34 1.675 0.639636 16.268
35 1.725 0.804127 17.696
36 1.775 1.00411 19.584
37 1.825 1.16115 21.892
38 1.875 1.28403 24.586
39 1.925 1.36199 27.598
40 1.975 1.3113 30.6505
41 2.025 1.30354 33.8405
42 2.075 1.33546 37.272
43 2.125 1.29544 40.763
44 2.175 1.19849 44.1465
45 2.225 1.09074 47.369
46 2.275 0.92531 50.227
47 2.325 0.830298 52.9055
48 2.375 0.762584 55.4725
49 2.425 0.706102 57.9505
50 2.475 0.695096 60.4915
1200 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0 0
19 0.925 0.0117481 0.006
20 0.975 0.511973 0.2965
21 1.025 2.46297 1.841
22 1.075 3.64046 4.352
23 1.125 3.1209 6.7095
24 1.175 2.09704 8.4375
25 1.225 1.39009 9.6825
26 1.275 0.909586 10.565
27 1.325 0.681905 11.2795
28 1.375 0.54105 11.89
29 1.425 0.462494 12.4505
30 1.475 0.445536 13.029
31 1.525 0.433013 13.63
32 1.575 0.474182 14.332
33 1.625 0.530799 15.1685
34 1.675 0.665317 16.2825
35 1.725 0.80103 17.705
36 1.775 0.989219 19.565
37 1.825 1.13071 21.8125
38 1.875 1.31906 24.58
39 1.925 1.3075 27.4715
40 1.975 1.36006 30.6375
41 2.025 1.34828 33.937
42 2.075 1.33021 37.355
43 2.125 1.28152 40.8085
