# Time-averaged data for fix pe_out
# TimeStep v_pot_energy
54900 -6.39587
55000 -6.39861
55100 -6.39068
55200 -6.40195
55300 -6.38373
55400 -6.38964
55500 -6.40153
55600 -6.40776
55700 -6.40908
55800 -6.41751
55900 -6.41705
56000 -6.40592
56100 -6.37346
56200 -6.38962
56300 -6.39172
56400 -6.4027
56500 -6.40718
56600 -6.41525
56700 -6.40231
56800 -6.39024
56900 -6.40708
57000 -6.39744
57100 -6.3959
57200 -6.39205
57300 -6.40897
57400 -6.41871
57500 -6.40195
57600 -6.40477
57700 -6.39546
57800 -6.37669
57900 -6.3817
58000 -6.36485
58100 -6.38961
58200 -6.3956
58300 -6.39587
58400 -6.38819
58500 -6.38809
58600 -6.39663
58700 -6.40699
58800 -6.3896
58900 -6.38908
59000 -6.38854
59100 -6.39272
59200 -6.41072
59300 -6.40863
59400 -6.38176
59500 -6.38714
59600 -6.37174
59700 -6.38507
59800 -6.39297
59900 -6.41054
60000 -6.3997
60100 -6.38708
60200 -6.40343
60300 -6.38924
60400 -6.39557
60500 -6.38832
60600 -6.3946
60700 -6.38155
60800 -6.38876
60900 -6.39741
61000 -6.40252
61100 -6.39223
61200 -6.39378
61300 -6.40459
61400 -6.41662
61500 -6.41243
61600 -6.40869
61700 -6.4016
61800 -6.39465
61900 -6.39751
62000 -6.40873
62100 -6.39189
62200 -6.39947
62300 -6.39661
62400 -6.39364
62500 -6.40587
62600 -6.3995
62700 -6.38108
62800 -6.38972
62900 -6.39898
63000 -6.40845
63100 -6.41571
63200 -6.40293
63300 -6.39603
63400 -6.38758
63500 -6.3802
63600 -6.37513
63700 -6.38691
63800 -6.39924
63900 -6.40333
64000 -6.38976
64100 -6.40676
64200 -6.37258
64300 -6.37602
64400 -6.39355
64500 -6.39431
64600 -6.40876
64700 -6.36777
64800 -6.37671
64900 -6.40282
65000 -6.39833
65100 -6.39507
65200 -6.39225
65300 -6.39289
65400 -6.3967
65500 -6.40221
65600 -6.40543
65700 -6.38885
65800 -6.39169
65900 -6.40862
66000 -6.41321
66100 -6.39919
66200 -6.40537
66300 -6.39976
66400 -6.39639
66500 -6.40381
66600 -6.39214
66700 -6.38674
66800 -6.39153
66900 -6.41491
67000 -6.40672
67100 -6.38845
67200 -6.39966
67300 -6.39367
67400 -6.40722
67500 -6.41697
67600 -6.40129
67700 -6.39479
67800 -6.39757
67900 -6.39646
68000 -6.39848
68100 -6.39862
68200 -6.39769
68300 -6.38884
68400 -6.39056
68500 -6.39214
68600 -6.41634
68700 -6.3923
68800 -6.39553
68900 -6.39222
69000 -6.37995
69100 -6.39667
69200 -6.38723
69300 -6.38767
69400 -6.40597
69500 -6.40372
69600 -6.37931
69700 -6.39162
69800 -6.38709
69900 -6.40373
70000 -6.4006
70100 -6.3871
70200 -6.38021
70300 -6.39229
70400 -6.39093
70500 -6.38573
70600 -6.3976
70700 -6.39735
70800 -6.39889
70900 -6.37912
71000 -6.3955
71100 -6.40303
71200 -6.39521
71300 -6.3843
71400 -6.38229
71500 -6.39104
71600 -6.38764
71700 -6.40472
71800 -6.40137
71900 -6.3981
72000 -6.38533
72100 -6.39778
72200 -6.38829
72300 -6.38433
72400 -6.36523
72500 -6.39205
72600 -6.39393
72700 -6.39369
72800 -6.39626
72900 -6.40592
73000 -6.38649
73100 -6.37857
73200 -6.38305
73300 -6.39009
73400 -6.38709
73500 -6.38922
73600 -6.38954
73700 -6.38364
73800 -6.39151
73900 -6.37832
74000 -6.38181
74100 -6.38023
74200 -6.38217
74300 -6.37657
74400 -6.38043
74500 -6.39084
74600 -6.37493
74700 -6.37821
74800 -6.37012
74900 -6.39251
75000 -6.39225
75100 -6.40106
75200 -6.39777
75300 -6.3738
75400 -6.37608
75500 -6.37588
75600 -6.39268
75700 -6.40853
75800 -6.41198
75900 -6.39724
76000 -6.39723
76100 -6.39994
76200 -6.3805
76300 -6.39124
76400 -6.39795
76500 -6.39461
76600 -6.37938
76700 -6.38679
76800 -6.3777
76900 -6.38237
77000 -6.40791
77100 -6.39546
77200 -6.38907
77300 -6.39026
77400 -6.4067
77500 -6.40255
77600 -6.40583
77700 -6.40561
77800 -6.3874
77900 -6.38813
78000 -6.39299
78100 -6.40204
78200 -6.40997
